structure,HADDOCK-score,correlation,atomic-clashes
6N8Z_10w.pdb,-2150.7038,0.9288,0
6N8Z_11w.pdb,-2097.73227,0.9325,6
6N8Z_12w.pdb,-2058.37732,0.929,2
6N8Z_13w.pdb,-2069.7966,0.929,0
6N8Z_14w.pdb,-2182.3623,0.9298,2
6N8Z_15w.pdb,-1924.8668,0.9252,0
6N8Z_16w.pdb,-2046.8188,0.9292,0
6N8Z_17w.pdb,-1913.9688,0.9282,1
6N8Z_18w.pdb,-2097.73227,0.9325,6
6N8Z_19w.pdb,-2160.76613,0.9298,1
6N8Z_1w.pdb,-2014.13673,0.9265,0
6N8Z_20w.pdb,-1999.0892,0.9279,0
6N8Z_21w.pdb,-1949.4234,0.9273,0
6N8Z_22w.pdb,-1946.8687,0.926,2
6N8Z_23w.pdb,-1950.7903,0.9283,3
6N8Z_24w.pdb,-2062.2736,0.9297,0
6N8Z_25w.pdb,-1845.5132,0.9294,0
6N8Z_26w.pdb,-2058.1888,0.929,0
6N8Z_27w.pdb,-1924.0385,0.9259,1
6N8Z_28w.pdb,-2129.746,0.9271,0
6N8Z_29w.pdb,-2168.044,0.9285,0
6N8Z_2w.pdb,-2156.8375,0.9304,0
6N8Z_30w.pdb,-2142.0866,0.9328,1
6N8Z_31w.pdb,-1975.71857,0.9302,1
6N8Z_32w.pdb,-2129.3459,0.9295,1
6N8Z_33w.pdb,-2066.67937,0.9292,0
6N8Z_34w.pdb,-1996.26551,0.9259,1
6N8Z_35w.pdb,-2249.4876,0.9299,2
6N8Z_36w.pdb,-1922.1302,0.9285,1
6N8Z_37w.pdb,-1952.0814,0.9294,1
6N8Z_38w.pdb,-2039.3001,0.9301,1
6N8Z_39w.pdb,-1991.8206,0.9286,1
6N8Z_3w.pdb,-2029.1868,0.9274,1
6N8Z_40w.pdb,-2070.1083,0.9304,1
6N8Z_41w.pdb,-1997.89414,0.9284,2
6N8Z_42w.pdb,-1958.1476,0.9268,1
6N8Z_43w.pdb,-1933.7693,0.9293,0
6N8Z_44w.pdb,-2121.58537,0.9277,3
6N8Z_45w.pdb,-2056.9226,0.928,0
6N8Z_46w.pdb,-2083.3426,0.9274,0
6N8Z_47w.pdb,-2002.7747,0.9301,1
6N8Z_48w.pdb,-2140.20727,0.9288,1
6N8Z_49w.pdb,-2092.0938,0.9287,0
6N8Z_4w.pdb,-2014.8793,0.9286,1
6N8Z_50w.pdb,-2020.9292,0.9288,0
6N8Z_5w.pdb,-2052.6986,0.9283,0
6N8Z_6w.pdb,-2033.7231,0.9298,2
6N8Z_7w.pdb,-1875.8395,0.9289,0
6N8Z_8w.pdb,-2063.1188,0.9294,1
6N8Z_9w.pdb,-1967.8526,0.9281,0
