structure,HADDOCK-score,correlation
6N8Z_1.pdb,-5207.146,0.9267
6N8Z_10.pdb,-5454.3593,0.9288
6N8Z_11.pdb,-4902.99786,0.9326
6N8Z_12.pdb,-5348.3057,0.9291
6N8Z_13.pdb,-5282.4542,0.929
6N8Z_14.pdb,-5565.4787,0.9299
6N8Z_15.pdb,-4853.3736,0.9253
6N8Z_16.pdb,-5357.0448,0.9293
6N8Z_17.pdb,-5053.0026,0.9282
6N8Z_18.pdb,-4902.99786,0.9326
6N8Z_19.pdb,-5484.5278,0.93
6N8Z_2.pdb,-5810.6683,0.9306
6N8Z_20.pdb,-5137.4216,0.9279
6N8Z_21.pdb,-4986.4178,0.9275
6N8Z_22.pdb,-4747.9416,0.926
6N8Z_23.pdb,-5007.1414,0.9283
6N8Z_24.pdb,-5248.2943,0.9297
6N8Z_25.pdb,-4631.0654,0.9293
6N8Z_26.pdb,-5468.8214,0.9291
6N8Z_27.pdb,-4835.3885,0.926
6N8Z_28.pdb,-5438.2301,0.9272
6N8Z_29.pdb,-5703.8721,0.9284
6N8Z_3.pdb,-5170.358,0.9273
6N8Z_30.pdb,-5411.5186,0.9329
6N8Z_31.pdb,-4948.058,0.9303
6N8Z_32.pdb,-5513.7881,0.9296
6N8Z_33.pdb,-5185.0331,0.9293
6N8Z_34.pdb,-4997.3857,0.9259
6N8Z_35.pdb,-5838.0509,0.9303
6N8Z_36.pdb,-4828.5657,0.9286
6N8Z_37.pdb,-5157.0191,0.9295
6N8Z_38.pdb,-5351.1075,0.9302
6N8Z_39.pdb,-4931.5041,0.9285
6N8Z_4.pdb,-5159.4406,0.9289
6N8Z_40.pdb,-5126.6742,0.9305
6N8Z_41.pdb,-5165.1019,0.9283
6N8Z_42.pdb,-4897.1114,0.927
6N8Z_43.pdb,-4874.9132,0.9295
6N8Z_44.pdb,-5398.385,0.9277
6N8Z_45.pdb,-5189.3776,0.928
6N8Z_46.pdb,-5397.6678,0.9274
6N8Z_47.pdb,-5155.0625,0.9301
6N8Z_48.pdb,-5486.3511,0.9288
6N8Z_49.pdb,-5374.9755,0.9286
6N8Z_5.pdb,-5293.5328,0.928
6N8Z_50.pdb,-5023.6793,0.929
6N8Z_6.pdb,-5329.4895,0.9299
6N8Z_7.pdb,-4792.5883,0.9289
6N8Z_8.pdb,-5508.8592,0.9293
6N8Z_9.pdb,-4963.7591,0.9281
