structure,HADDOCK-score,atomic-clashes
6UC0_10.pdb,-2920.3445,3
6UC0_11.pdb,-2856.7756,2
6UC0_12.pdb,-2718.3126,1
6UC0_13.pdb,-2937.3136,2
6UC0_14.pdb,-2893.2535,3
6UC0_15.pdb,-2879.4904,4
6UC0_16.pdb,-2645.2411,4
6UC0_17.pdb,-2797.3566,3
6UC0_18.pdb,-2909.5399,0
6UC0_19.pdb,-2837.2339,2
6UC0_1.pdb,-3116.4603,2
6UC0_20.pdb,-2865.8948,1
6UC0_21.pdb,-2963.5336,4
6UC0_22.pdb,-2686.8816,0
6UC0_23.pdb,-2891.4796,2
6UC0_24.pdb,-2795.115,3
6UC0_25.pdb,-3162.3849,2
6UC0_26.pdb,-2646.2087,2
6UC0_27.pdb,-2910.3666,3
6UC0_28.pdb,-3036.8062,0
6UC0_29.pdb,-2890.5151,2
6UC0_2.pdb,-3131.0439,2
6UC0_30.pdb,-2879.0393,2
6UC0_31.pdb,-2977.272,1
6UC0_32.pdb,-2908.7492,0
6UC0_33.pdb,-3050.2204,2
6UC0_34.pdb,-2884.2528,2
6UC0_35.pdb,-2562.8404,2
6UC0_36.pdb,-2871.7755,4
6UC0_37.pdb,-2969.1929,2
6UC0_38.pdb,-2968.0125,2
6UC0_39.pdb,-2796.0706,5
6UC0_3.pdb,-3006.98,2
6UC0_40.pdb,-2784.9233,3
6UC0_41.pdb,-2528.1605,3
6UC0_42.pdb,-2729.1761,2
6UC0_43.pdb,-3068.8883,1
6UC0_44.pdb,-2888.996,2
6UC0_45.pdb,-2722.9139,3
6UC0_46.pdb,-3043.7518,2
6UC0_47.pdb,-2896.30226,0
6UC0_48.pdb,-2834.1103,2
6UC0_49.pdb,-2648.3361,0
6UC0_4.pdb,-2774.8591,5
6UC0_50.pdb,-3041.4367,1
6UC0_5.pdb,-2969.37891,1
6UC0_6.pdb,-3041.9173,2
6UC0_7.pdb,-2614.3842,3
6UC0_8.pdb,-2840.9925,2
6UC0_9.pdb,-2986.6891,3
