structure,HADDOCK-score,correlation
5GRS_1.pdb,-4320.01924,0.8949
5GRS_10.pdb,-4135.9979,0.8934
5GRS_11.pdb,-4101.52908,0.893
5GRS_12.pdb,-3766.09607,0.8924
5GRS_13.pdb,-3992.01952,0.8923
5GRS_14.pdb,-4290.75543,0.8943
5GRS_15.pdb,-4034.48328,0.8937
5GRS_16.pdb,-4090.9143,0.8953
5GRS_17.pdb,-4024.15123,0.8937
5GRS_18.pdb,-4209.46636,0.8925
5GRS_19.pdb,-3820.46584,0.8905
5GRS_2.pdb,-4042.52696,0.8936
5GRS_20.pdb,-4165.9497,0.8936
5GRS_21.pdb,-4211.99653,0.895
5GRS_22.pdb,-4053.42448,0.8938
5GRS_23.pdb,-4134.04305,0.8921
5GRS_24.pdb,-3846.91544,0.8929
5GRS_25.pdb,-4146.58038,0.8933
5GRS_26.pdb,-4238.05794,0.8946
5GRS_27.pdb,-4158.26587,0.8942
5GRS_28.pdb,-4050.21571,0.8902
5GRS_29.pdb,-4223.25359,0.8952
5GRS_3.pdb,-4012.02486,0.8937
5GRS_30.pdb,-4073.13792,0.8905
5GRS_31.pdb,-4085.12639,0.8932
5GRS_32.pdb,-3834.26192,0.8933
5GRS_33.pdb,-4115.31957,0.8936
5GRS_34.pdb,-3987.09143,0.8935
5GRS_35.pdb,-4253.01712,0.8947
5GRS_36.pdb,-4161.83664,0.8916
5GRS_37.pdb,-4204.80749,0.8919
5GRS_38.pdb,-4330.85329,0.8932
5GRS_39.pdb,-4124.75444,0.8922
5GRS_4.pdb,-4194.98727,0.8918
5GRS_40.pdb,-4037.4725,0.8929
5GRS_41.pdb,-4210.2503,0.8948
5GRS_42.pdb,-4331.87513,0.8944
5GRS_43.pdb,-4237.05381,0.8947
5GRS_44.pdb,-4192.46949,0.8938
5GRS_45.pdb,-4109.76965,0.8946
5GRS_46.pdb,-4339.25356,0.8936
5GRS_47.pdb,-4181.34987,0.8946
5GRS_48.pdb,-3861.10758,0.8916
5GRS_49.pdb,-4038.65228,0.8917
5GRS_5.pdb,-4218.70681,0.8945
5GRS_50.pdb,-3817.45997,0.8944
5GRS_6.pdb,-4044.88431,0.8927
5GRS_7.pdb,-3998.43863,0.8924
5GRS_8.pdb,-4312.32581,0.8926
5GRS_9.pdb,-4264.9523,0.8931
