structure,HADDOCK-score,correlation,atomic-clashes
6AHF_10w.pdb,-1093.1299,0.8765,0
6AHF_11w.pdb,-956.84778,0.8946,2
6AHF_12w.pdb,-1033.87791,0.8772,0
6AHF_13w.pdb,-1117.3837,0.8746,0
6AHF_14w.pdb,-1089.16592,0.8784,1
6AHF_15w.pdb,-1040.2384,0.8739,1
6AHF_16w.pdb,-1049.4057,0.8519,0
6AHF_17w.pdb,-1097.30827,0.8627,0
6AHF_18w.pdb,-956.84778,0.8946,2
6AHF_19w.pdb,-1161.0382,0.8647,0
6AHF_1w.pdb,-1038.7131,0.8789,0
6AHF_20w.pdb,-980.2976,0.8659,0
6AHF_21w.pdb,-1117.0847,0.876,0
6AHF_22w.pdb,-1092.16734,0.8722,0
6AHF_23w.pdb,-1034.0404,0.8739,0
6AHF_24w.pdb,-1129.4575,0.8699,2
6AHF_25w.pdb,-1219.16613,0.8653,0
6AHF_26w.pdb,-1056.7538,0.875,0
6AHF_27w.pdb,-1069.1421,0.8769,1
6AHF_28w.pdb,-1125.5908,0.8706,0
6AHF_29w.pdb,-1203.085,0.8754,0
6AHF_2w.pdb,-1032.8628,0.864,0
6AHF_30w.pdb,-956.84778,0.8946,2
6AHF_31w.pdb,-918.4082,0.8599,1
6AHF_32w.pdb,-1098.7881,0.8685,0
6AHF_33w.pdb,-1232.25779,0.8781,0
6AHF_34w.pdb,-1288.2769,0.867,0
6AHF_35w.pdb,-956.84778,0.8946,2
6AHF_36w.pdb,-1209.3412,0.8687,0
6AHF_37w.pdb,-956.84778,0.8946,2
6AHF_38w.pdb,-1089.8468,0.8682,1
6AHF_39w.pdb,-1067.59089,0.8758,0
6AHF_3w.pdb,-1071.59478,0.8694,0
6AHF_40w.pdb,-963.3703,0.869,0
6AHF_41w.pdb,-998.0063,0.8717,1
6AHF_42w.pdb,-1185.3773,0.8694,0
6AHF_43w.pdb,-1132.7966,0.8719,0
6AHF_44w.pdb,-1085.77808,0.8714,0
6AHF_45w.pdb,-1065.1223,0.8716,0
6AHF_46w.pdb,-1017.8894,0.8627,1
6AHF_47w.pdb,-1254.1999,0.8681,2
6AHF_48w.pdb,-1000.2765,0.8742,1
6AHF_49w.pdb,-962.3534,0.8708,1
6AHF_4w.pdb,-1016.1907,0.8554,0
6AHF_50w.pdb,-1112.8911,0.8635,0
6AHF_5w.pdb,-1184.6799,0.8684,1
6AHF_6w.pdb,-956.84778,0.8946,2
6AHF_7w.pdb,-1045.0678,0.856,2
6AHF_8w.pdb,-1014.7335,0.8684,0
6AHF_9w.pdb,-1139.2121,0.8702,0
