structure,HADDOCK-score,correlation,atomic-clashes
6UC0_10w.pdb,-1294.912,0.932,0
6UC0_11w.pdb,-1211.9187,0.9319,0
6UC0_12w.pdb,-1168.62,0.9313,0
6UC0_13w.pdb,-1294.0697,0.9335,0
6UC0_14w.pdb,-1275.4151,0.932,0
6UC0_15w.pdb,-1271.1964,0.9323,0
6UC0_16w.pdb,-1233.3499,0.9306,0
6UC0_17w.pdb,-1210.9586,0.9313,1
6UC0_18w.pdb,-1259.7706,0.9298,0
6UC0_19w.pdb,-1264.7329,0.9287,0
6UC0_1w.pdb,-1330.8008,0.9323,0
6UC0_20w.pdb,-1268.1891,0.9306,1
6UC0_21w.pdb,-1302.8277,0.9333,0
6UC0_22w.pdb,-1234.3357,0.9302,0
6UC0_23w.pdb,-1267.4462,0.9321,0
6UC0_24w.pdb,-1193.5002,0.9289,0
6UC0_25w.pdb,-1332.721,0.9347,0
6UC0_26w.pdb,-1175.2609,0.9327,1
6UC0_27w.pdb,-1290.0494,0.9323,1
6UC0_28w.pdb,-1339.8263,0.9304,0
6UC0_29w.pdb,-1246.1859,0.931,0
6UC0_2w.pdb,-1330.5887,0.9336,0
6UC0_30w.pdb,-1279.2435,0.929,0
6UC0_31w.pdb,-1275.2147,0.9322,0
6UC0_32w.pdb,-1243.4599,0.9307,0
6UC0_33w.pdb,-1297.2435,0.9264,1
6UC0_34w.pdb,-1297.6945,0.9309,0
6UC0_35w.pdb,-1145.3295,0.9297,0
6UC0_36w.pdb,-1255.5634,0.9314,0
6UC0_37w.pdb,-1286.5741,0.9304,0
6UC0_38w.pdb,-1270.3774,0.9328,0
6UC0_39w.pdb,-1222.9395,0.9306,0
6UC0_3w.pdb,-1330.4228,0.9308,0
6UC0_40w.pdb,-1209.6953,0.9307,0
6UC0_41w.pdb,-1162.024,0.9327,0
6UC0_42w.pdb,-1193.1876,0.9309,1
6UC0_43w.pdb,-1314.9958,0.933,0
6UC0_44w.pdb,-1287.1961,0.9305,1
6UC0_45w.pdb,-1140.5398,0.9291,0
6UC0_46w.pdb,-1268.3077,0.9342,0
6UC0_47w.pdb,-1275.6728,0.9318,0
6UC0_48w.pdb,-1256.6619,0.9294,0
6UC0_49w.pdb,-1169.9204,0.9308,0
6UC0_4w.pdb,-1242.7561,0.9323,0
6UC0_50w.pdb,-1264.0971,0.9313,0
6UC0_5w.pdb,-1250.954,0.9303,0
6UC0_6w.pdb,-1339.2771,0.9316,1
6UC0_7w.pdb,-1147.8605,0.9316,0
6UC0_8w.pdb,-1250.4044,0.9329,0
6UC0_9w.pdb,-1299.8338,0.9308,0
