structure,HADDOCK-score,correlation,atomic-clashes
6N8Z_10w.pdb,-2619.275,0.933,0
6N8Z_11w.pdb,-2619.275,0.933,0
6N8Z_12w.pdb,-2619.275,0.933,0
6N8Z_13w.pdb,-2619.275,0.933,0
6N8Z_14w.pdb,-2619.275,0.933,0
6N8Z_15w.pdb,-2619.275,0.933,0
6N8Z_16w.pdb,-2619.275,0.933,0
6N8Z_17w.pdb,-2619.275,0.933,0
6N8Z_18w.pdb,-2619.275,0.933,0
6N8Z_19w.pdb,-2619.275,0.933,0
6N8Z_1w.pdb,-2619.275,0.933,0
6N8Z_20w.pdb,-2619.275,0.933,0
6N8Z_21w.pdb,-2619.275,0.933,0
6N8Z_22w.pdb,-2619.275,0.933,0
6N8Z_23w.pdb,-2619.275,0.933,0
6N8Z_24w.pdb,-2619.275,0.933,0
6N8Z_25w.pdb,-2619.275,0.933,0
6N8Z_26w.pdb,-2619.275,0.933,0
6N8Z_27w.pdb,-2619.275,0.933,0
6N8Z_28w.pdb,-2619.275,0.933,0
6N8Z_29w.pdb,-2619.275,0.933,0
6N8Z_2w.pdb,-2619.275,0.933,0
6N8Z_30w.pdb,-2619.275,0.933,0
6N8Z_31w.pdb,-2619.275,0.933,0
6N8Z_32w.pdb,-2619.275,0.933,0
6N8Z_33w.pdb,-2619.275,0.933,0
6N8Z_34w.pdb,-2619.275,0.933,0
6N8Z_35w.pdb,-2619.275,0.933,0
6N8Z_36w.pdb,-2619.275,0.933,0
6N8Z_37w.pdb,-2619.275,0.933,0
6N8Z_38w.pdb,-2619.275,0.933,0
6N8Z_39w.pdb,-2619.275,0.933,0
6N8Z_3w.pdb,-2619.275,0.933,0
6N8Z_40w.pdb,-2619.275,0.933,0
6N8Z_41w.pdb,-2619.275,0.933,0
6N8Z_42w.pdb,-2619.275,0.933,0
6N8Z_43w.pdb,-2619.275,0.933,0
6N8Z_44w.pdb,-2619.275,0.933,0
6N8Z_45w.pdb,-2619.275,0.933,0
6N8Z_46w.pdb,-2619.275,0.933,0
6N8Z_47w.pdb,-2619.275,0.933,0
6N8Z_48w.pdb,-2619.275,0.933,0
6N8Z_49w.pdb,-2619.275,0.933,0
6N8Z_4w.pdb,-2619.275,0.933,0
6N8Z_50w.pdb,-2619.275,0.933,0
6N8Z_5w.pdb,-2619.275,0.933,0
6N8Z_6w.pdb,-2619.275,0.933,0
6N8Z_7w.pdb,-2619.275,0.933,0
6N8Z_8w.pdb,-2619.275,0.933,0
6N8Z_9w.pdb,-2619.275,0.933,0
