structure,HADDOCK-score,atomic-clashes
6N8Z_10.pdb,-5454.3593,19
6N8Z_11.pdb,-4902.99786,17
6N8Z_12.pdb,-5348.3057,17
6N8Z_13.pdb,-5282.4542,11
6N8Z_14.pdb,-5565.4787,12
6N8Z_15.pdb,-4853.3736,9
6N8Z_16.pdb,-5357.0448,15
6N8Z_17.pdb,-5053.0026,13
6N8Z_18.pdb,-4902.99786,17
6N8Z_19.pdb,-5484.5278,12
6N8Z_1.pdb,-5207.146,15
6N8Z_20.pdb,-5137.4216,15
6N8Z_21.pdb,-4986.4178,13
6N8Z_22.pdb,-4747.9416,10
6N8Z_23.pdb,-5007.1414,15
6N8Z_24.pdb,-5248.2943,18
6N8Z_25.pdb,-4631.0654,12
6N8Z_26.pdb,-5468.8214,9
6N8Z_27.pdb,-4835.3885,8
6N8Z_28.pdb,-5438.2301,9
6N8Z_29.pdb,-5703.8721,8
6N8Z_2.pdb,-5810.6683,7
6N8Z_30.pdb,-5411.5186,13
6N8Z_31.pdb,-4948.058,20
6N8Z_32.pdb,-5513.7881,6
6N8Z_33.pdb,-5185.0331,11
6N8Z_34.pdb,-4997.3857,13
6N8Z_35.pdb,-5838.0509,13
6N8Z_36.pdb,-4828.5657,16
6N8Z_37.pdb,-5157.0191,19
6N8Z_38.pdb,-5351.1075,8
6N8Z_39.pdb,-4931.5041,14
6N8Z_3.pdb,-5170.358,10
6N8Z_40.pdb,-5126.6742,11
6N8Z_41.pdb,-5165.1019,18
6N8Z_42.pdb,-4897.1114,12
6N8Z_43.pdb,-4874.9132,12
6N8Z_44.pdb,-5398.385,13
6N8Z_45.pdb,-5189.3776,10
6N8Z_46.pdb,-5397.6678,14
6N8Z_47.pdb,-5155.0625,8
6N8Z_48.pdb,-5486.3511,17
6N8Z_49.pdb,-5374.9755,13
6N8Z_4.pdb,-5159.4406,10
6N8Z_50.pdb,-5023.6793,13
6N8Z_5.pdb,-5293.5328,16
6N8Z_6.pdb,-5329.4895,16
6N8Z_7.pdb,-4792.5883,12
6N8Z_8.pdb,-5508.8592,12
6N8Z_9.pdb,-4963.7591,14
