structure,HADDOCK-score,correlation
6ACG_1.pdb,-2664.15669,0.8576
6ACG_10.pdb,-2617.19658,0.8584
6ACG_11.pdb,-2719.81875,0.8578
6ACG_12.pdb,-2560.952,0.857
6ACG_13.pdb,-2923.44077,0.8582
6ACG_14.pdb,-2633.1118,0.8581
6ACG_15.pdb,-2579.6087,0.8588
6ACG_16.pdb,-2565.3239,0.8592
6ACG_17.pdb,-2719.5362,0.8594
6ACG_18.pdb,-2788.66285,0.8576
6ACG_19.pdb,-2615.9078,0.8573
6ACG_2.pdb,-2878.87802,0.8597
6ACG_20.pdb,-2998.85395,0.8586
6ACG_21.pdb,-2646.84302,0.8572
6ACG_22.pdb,-2471.0506,0.8574
6ACG_23.pdb,-2654.2996,0.859
6ACG_24.pdb,-2806.9554,0.8573
6ACG_25.pdb,-2579.7116,0.859
6ACG_26.pdb,-2589.25916,0.858
6ACG_27.pdb,-2560.2277,0.8585
6ACG_28.pdb,-2893.60634,0.8595
6ACG_29.pdb,-2775.48114,0.8606
6ACG_3.pdb,-2621.1444,0.8579
6ACG_30.pdb,-2705.1814,0.8585
6ACG_31.pdb,-2706.72729,0.8587
6ACG_32.pdb,-2622.0093,0.8573
6ACG_33.pdb,-2617.0286,0.8599
6ACG_34.pdb,-2576.5044,0.8563
6ACG_35.pdb,-2362.6229,0.8575
6ACG_36.pdb,-2443.8418,0.8555
6ACG_37.pdb,-2801.44225,0.8593
6ACG_38.pdb,-2316.9741,0.8585
6ACG_39.pdb,-2722.44386,0.8604
6ACG_4.pdb,-2608.1927,0.8541
6ACG_40.pdb,-2798.6319,0.8581
6ACG_41.pdb,-2537.34436,0.8563
6ACG_42.pdb,-2894.912,0.8589
6ACG_43.pdb,-2563.11219,0.8566
6ACG_44.pdb,-2652.90945,0.857
6ACG_45.pdb,-2673.1358,0.8549
6ACG_46.pdb,-2819.1591,0.8579
6ACG_47.pdb,-2636.05517,0.8593
6ACG_48.pdb,-2744.2565,0.8581
6ACG_49.pdb,-3028.49635,0.8601
6ACG_5.pdb,-2713.4249,0.8579
6ACG_50.pdb,-2828.3061,0.8554
6ACG_6.pdb,-2526.79815,0.8583
6ACG_7.pdb,-2742.56617,0.8599
6ACG_8.pdb,-2768.86469,0.8584
6ACG_9.pdb,-2731.1281,0.8584
