structure,HADDOCK-score,correlation,atomic-clashes
6UC0_10w.pdb,-1438.1256,0.929,0
6UC0_11w.pdb,-1428.1079,0.9286,0
6UC0_12w.pdb,-1389.8574,0.9297,0
6UC0_13w.pdb,-1428.532,0.9299,0
6UC0_14w.pdb,-1394.4635,0.9295,0
6UC0_15w.pdb,-1446.8023,0.929,0
6UC0_16w.pdb,-1400.6316,0.9292,0
6UC0_17w.pdb,-1404.0427,0.9292,0
6UC0_18w.pdb,-1429.4127,0.929,0
6UC0_19w.pdb,-1383.8426,0.9295,0
6UC0_1w.pdb,-1413.317,0.9295,0
6UC0_20w.pdb,-1413.8973,0.9293,0
6UC0_21w.pdb,-1388.0675,0.9293,0
6UC0_22w.pdb,-1439.8132,0.9288,0
6UC0_23w.pdb,-1446.747,0.9291,0
6UC0_24w.pdb,-1431.54638,0.9289,0
6UC0_25w.pdb,-1410.9322,0.9294,0
6UC0_26w.pdb,-1413.35686,0.9285,0
6UC0_27w.pdb,-1448.729,0.9292,0
6UC0_28w.pdb,-1414.1968,0.9292,0
6UC0_29w.pdb,-1416.1949,0.93,0
6UC0_2w.pdb,-1405.73,0.9288,0
6UC0_30w.pdb,-1444.0241,0.9294,0
6UC0_31w.pdb,-1426.9782,0.9299,0
6UC0_32w.pdb,-1418.8381,0.9296,0
6UC0_33w.pdb,-1423.8857,0.9296,0
6UC0_34w.pdb,-1442.9771,0.9294,0
6UC0_35w.pdb,-1414.7284,0.9289,0
6UC0_36w.pdb,-1392.7308,0.9298,0
6UC0_37w.pdb,-1446.405,0.9289,0
6UC0_38w.pdb,-1411.3038,0.9283,0
6UC0_39w.pdb,-1410.8741,0.9293,0
6UC0_3w.pdb,-1412.0528,0.9293,0
6UC0_40w.pdb,-1433.0518,0.9294,0
6UC0_41w.pdb,-1422.5652,0.9288,0
6UC0_42w.pdb,-1407.9678,0.929,0
6UC0_43w.pdb,-1442.5922,0.9287,0
6UC0_44w.pdb,-1473.6428,0.9296,0
6UC0_45w.pdb,-1393.7895,0.9286,0
6UC0_46w.pdb,-1471.142,0.9294,0
6UC0_47w.pdb,-1397.03663,0.9285,0
6UC0_48w.pdb,-1429.6064,0.9291,0
6UC0_49w.pdb,-1438.18851,0.9292,0
6UC0_4w.pdb,-1396.569,0.9293,0
6UC0_50w.pdb,-1435.92962,0.9292,0
6UC0_5w.pdb,-1382.6004,0.9292,0
6UC0_6w.pdb,-1402.2739,0.9301,0
6UC0_7w.pdb,-1411.9431,0.9291,0
6UC0_8w.pdb,-1422.45261,0.9289,0
6UC0_9w.pdb,-1432.3807,0.9295,0
